%time,field.x,field.y,field.z
1460927901018362998,1542.0,737.0,0.501959875877
1460927901060887098,1541.0,731.0,0.56542189183
1460927901098407983,1541.0,725.0,0.488025457905
1460927901139265060,1540.0,718.0,0.539861229427
1460927901180157899,1540.0,711.0,0.535412090023
1460927901216993093,1539.0,705.0,0.509672834438
1460927901261919975,1539.0,698.0,0.534931904041
1460927901306485891,1538.0,691.0,0.545949260727
1460927901342971086,1538.0,684.0,0.496750233346
1460927901383081912,1537.0,677.0,0.575032299668
1460927901422218084,1536.0,670.0,0.480644885139
1460927901470383882,1536.0,663.0,0.512437954238
1460927901536504983,1535.0,656.0,0.507123444975
1460927901603404998,1535.0,648.0,0.450173982444
1460927901667296886,1534.0,641.0,0.540816287908
1460927901731292009,1533.0,634.0,0.482687297719
1460927901805043935,1533.0,627.0,0.469014340323
1460927901864816904,1532.0,619.0,0.535267854753
1460927901938591957,1532.0,612.0,0.477537212985
1460927902001199960,1531.0,605.0,0.517141234765
1460927902064624071,1530.0,597.0,0.498406983105
1460927902131402969,1529.0,590.0,0.431328364666
1460927902205374002,1529.0,582.0,0.478710503256
1460927902260446071,1528.0,575.0,0.519611514129
1460927902339365005,1527.0,568.0,0.491394687723
1460927902399909973,1526.0,560.0,0.506031176194
1460927902464751005,1525.0,553.0,0.489923594855
1460927902527503013,1524.0,545.0,0.527605565425
1460927902597559928,1523.0,538.0,0.526264035548
1460927902657077074,1522.0,531.0,0.545790095236
1460927902728800058,1521.0,524.0,0.537660670715
1460927902793955087,1520.0,517.0,0.489667152659
1460927902854357004,1518.0,511.0,0.507612685851
1460927902915343046,1517.0,505.0,0.549815093868
1460927902977524042,1516.0,499.0,0.494873937868
1460927903039309978,1514.0,494.0,0.559580871613
1460927903101198911,1512.0,490.0,0.509691527644
1460927903163028955,1511.0,486.0,0.594159840965
1460927903223093032,1509.0,482.0,0.378274346393
1460927903287662029,1508.0,479.0,0.490094672307
1460927903348140954,1506.0,476.0,0.593920071384
